id;nom;lieu_depart;lieu_arrivee;date_voyage;detail;music;fumer;radio;date_creation;etat_annonce
1;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;2019-09-13T08:33:15;Georgia Industrial;true;true;false;2019-09-12T14:59:49;ACTIVE
2;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;2019-09-13T06:55:15;scalable;false;false;false;2019-09-12T13:51:35;ACTIVE
3;Jewelery;monitor;1080p Checking Account Identity;2019-09-12T21:55:08;Internal;true;true;false;2019-09-13T05:36:11;ACTIVE
4;payment;withdrawal COM;embrace Developer;2019-09-12T17:10:15;hard drive Robust Networked;false;true;true;2019-09-13T03:17:02;ANNULER
5;redXX;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;2019-09-13T08:40:16;Brand;true;false;true;2019-09-13T09:40:31;ACTIVE
6;Squares mint green e-business;Ghana back-end National;Direct;2019-09-13T07:00:49;withdrawal;false;true;false;2019-09-12T16:53:14;ACTIVE
7;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;2019-09-13T00:09:01;facilitate Tasty Concrete Chips Exclusive;true;false;true;2019-09-13T06:19:25;ANNULER
8;mission-critical;Berkshire Small Plastic Pants Investor;Canadian Dollar;2019-09-13T00:48:09;Way Dominican Republic;true;true;false;2019-09-12T19:15:58;ANNULER
9;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;2019-09-12T16:56:39;neural-net red;true;true;true;2019-09-13T08:06:32;ACTIVE
10;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;2019-09-12T13:58:22;Borders content-based;true;false;true;2019-09-12T16:00:42;ACTIVE
